Tipo de identificación,ID. Cliente,Saldo de aportes,Valor aporte mensual,Saldo aportes ordinarios,Saldo aportes extraordinarios,Valor revalorización,Monto promedio año,Ultima fecha de pago
C,23383,41441.0,13000,41441.0,0,0,41441,2022-03-31
C,9097,896550.0,13000,896550.0,0,0,877008,2024-09-16
C,18705,2989265.0,13000,2989265.0,0,0,2854581,2024-09-16
C,31187,755161.0,13000,755161.0,0,0,755161,2023-04-20
C,27489,60203.0,13000,60203.0,0,0,60203,2022-03-31
C,23371,70605.0,13000,70605.0,0,0,70605,2022-03-31
C,6704,853094.0,13000,853094.0,0,0,814924,2024-09-17
C,6703,32324.0,13000,32324.0,0,0,32324,2022-03-31
C,6702,442003.0,13000,442003.0,0,0,377715,2024-09-30
C,33397,19837.0,13000,19837.0,0,0,19837,2022-11-23
C,6701,203035.0,13000,203035.0,0,0,203035,2022-03-31
C,33396,64749.0,13000,64749.0,0,0,57871,2024-03-07
C,10233,5930378.0,13000,5930378.0,0,0,5866090,2024-09-30
C,36716,507622.0,13000,507622.0,0,0,493626,2024-04-30
C,10232,1239597.0,50000,1239597.0,0,0,1239597,2023-07-31
C,33395,218590.0,13000,218590.0,0,0,218590,2022-03-31
C,33394,1040491.0,13000,1040491.0,0,0,990655,2024-09-09
C,6700,48550.0,13000,48550.0,0,0,48550,2022-03-31
C,18698,699553.0,13000,699553.0,0,0,699553,2023-08-28
C,33393,174750.0,13000,174750.0,0,0,174750,2022-03-31
C,33392,280971.0,13000,280971.0,0,0,280971,2022-03-31
C,33391,36531.0,13000,36531.0,0,0,36531,2023-10-31
C,18697,160367.0,13000,160367.0,0,0,160367,2022-03-31
C,27488,801607.0,13000,801607.0,0,0,801607,2022-03-31
C,27487,288315.0,13000,288315.0,0,0,288315,2022-03-31
C,42340,570761.0,13000,570761.0,0,0,506473,2024-09-30
C,10509,11184638.0,45338,11184638.0,0,0,10954424,2024-09-10
C,31186,3191818.0,13000,3191818.0,0,0,3127530,2024-09-30
C,46396,619538.0,13000,619538.0,0,0,589677,2024-09-25
C,18696,124610.0,13000,124610.0,0,0,124610,2022-12-24
C,18695,2713148.0,13000,2713148.0,0,0,2679343,2024-08-08
C,36715,56641.0,13000,56641.0,0,0,56641,2022-03-31
C,48278,329347.0,13000,329347.0,0,0,329347,2022-03-31
C,14305,147127.0,13000,147127.0,0,0,147127,2022-07-29
C,23347,121288.0,13000,121288.0,0,0,121288,2023-02-22
C,41158,1905026.0,13000,1905026.0,0,0,1760880,2024-09-20
C,40047,30929.0,13000,30929.0,0,0,30929,2022-03-31
C,40046,237355.0,13000,237355.0,0,0,173067,2024-09-30
C,23346,75388.0,13000,75388.0,0,0,75388,2023-06-30
C,33492,532175.0,13000,532175.0,0,0,532175,2022-03-31
N,5338,2397097.0,19500,2397097.0,0,0,2300665,2024-09-30
N,5345,461278.0,19500,461278.0,0,0,461278,2022-03-31
N,4547,108268.0,19500,108268.0,0,0,134290,2024-05-31
C,33491,26181.0,13000,26181.0,0,0,26181,2022-03-31
C,6763,464681.0,13000,464681.0,0,0,400393,2024-09-30
C,10510,2279353.0,13000,2279353.0,0,0,2249605,2024-06-30
C,33468,131076.0,13000,131076.0,0,0,131076,2022-03-31
C,33467,369097.0,13000,369097.0,0,0,369097,2022-03-31
C,33466,75378.0,13000,75378.0,0,0,75378,2023-08-28
C,33465,71736.0,13000,71736.0,0,0,71736,2023-07-31
C,33464,1721000.0,13000,1721000.0,0,0,1638456,2024-09-16
C,14369,51022.0,13000,51022.0,0,0,51022,2023-03-30
C,14368,709170.0,13000,709170.0,0,0,644882,2024-09-30
C,23407,366183.0,13000,366183.0,0,0,366183,2022-05-24
C,10450,9658942.0,50000,9658942.0,0,0,9309244,2024-09-27
C,6762,599864.0,13000,599864.0,0,0,535576,2024-09-30
C,47670,817380.0,13000,817380.0,0,0,817380,2022-11-22
C,6761,573455.0,13000,573455.0,0,0,498017,2024-09-30
C,31199,153071.0,13000,153071.0,0,0,128589,2024-09-30
C,14367,59288.0,13000,59288.0,0,0,59288,2022-03-31
C,27515,766011.0,13000,766011.0,0,0,761978,2024-02-29
C,43794,607973.0,13000,607973.0,0,0,543685,2024-09-30
C,33463,26181.0,13000,26181.0,0,0,26181,2022-03-31
C,6760,102944.0,13000,102944.0,0,0,102944,2022-03-31
C,33462,80551.0,13000,80551.0,0,0,80551,2023-05-24
C,6759,1326295.0,13000,1326295.0,0,0,1308291,2024-04-20
C,6758,779288.0,13000,779288.0,0,0,779288,2022-03-31
C,14366,2485736.0,100000,2485736.0,0,0,1991210,2024-09-30
C,6757,562255.0,13000,562255.0,0,0,497967,2024-09-30
C,27514,39068.0,13000,39068.0,0,0,39068,2022-03-31
C,33461,10551.0,13000,10551.0,0,0,10551,2022-03-31
C,27513,120788.0,13000,120788.0,0,0,120788,2022-03-31
C,1186,1238288.0,13000,1238288.0,0,0,1174000,2024-09-30
C,6748,3464686.0,13000,3464686.0,0,0,3448963,2024-07-23
C,27509,26972.0,13000,26972.0,0,0,26972,2022-03-31
C,18757,68334.0,13000,68334.0,0,0,68334,2022-03-31
C,14361,64547.0,13000,64547.0,0,0,64547,2023-02-22
C,14360,68371.0,13000,68371.0,0,0,68371,2022-03-31
C,6664,627452.0,13000,627452.0,0,0,563164,2024-09-30
C,6663,31855.0,13000,31855.0,0,0,31855,2022-03-31
C,40045,614912.0,13000,614912.0,0,0,542734,2024-09-30
C,6662,65203.0,13000,65203.0,0,0,65203,2022-07-29
C,14304,27246.0,13000,27246.0,0,0,27246,2022-03-31
C,23345,98602.0,13000,98602.0,0,0,98602,2022-03-31
C,23344,47314.0,13000,47314.0,0,0,47314,2022-03-31
C,40044,1698573.0,13000,1698573.0,0,0,1585110,2024-09-16
C,27479,2871202.0,13000,2871202.0,0,0,2802414,2024-09-17
C,31181,1045846.0,13000,1045846.0,0,0,1045846,2022-03-31
C,6661,72030.0,13000,72030.0,0,0,72030,2022-12-24
C,36706,128346.0,13000,128346.0,0,0,127112,2024-01-27
C,40043,537799.0,13000,537799.0,0,0,537799,2022-03-31
C,23343,127096.0,13000,127096.0,0,0,127096,2022-03-31
C,23338,364994.0,13000,364994.0,0,0,328180,2024-09-09
C,48272,583041.0,13000,583041.0,0,0,583041,2022-11-23
C,23337,79445.0,13000,79445.0,0,0,79445,2023-04-20
C,40042,858757.0,13000,858757.0,0,0,858757,2022-03-31
C,36700,1015684.0,13000,1015684.0,0,0,947866,2024-09-09
C,40041,1445273.0,13000,1445273.0,0,0,1342771,2024-09-20
C,47035,20555.0,13000,20555.0,0,0,20555,2022-03-31
C,42338,305508.0,13000,305508.0,0,0,305508,2022-03-31
C,18688,34812.0,13000,34812.0,0,0,34812,2022-03-31
C,10523,7669480.0,13000,7669480.0,0,0,7656527,2024-09-30
C,14312,68298.0,13000,68298.0,0,0,68298,2022-03-31
C,6682,108186.0,13000,108186.0,0,0,108186,2022-03-31
C,31183,3617235.0,13000,3617235.0,0,0,3539746,2024-08-30
C,33388,73104.0,13000,73104.0,0,0,73104,2022-03-31
C,6681,76461.0,13000,76461.0,0,0,76461,2023-08-28
C,14311,77124.0,13000,77124.0,0,0,77124,2023-07-31
C,23362,69475.0,13000,69475.0,0,0,69475,2022-03-31
C,6680,225191.0,13000,225191.0,0,0,225191,2022-03-31
C,36714,57190.0,13000,57190.0,0,0,57190,2022-09-28
C,23361,658233.0,13000,658233.0,0,0,593945,2024-09-30
C,6679,564582.0,13000,564582.0,0,0,524775,2024-07-31
C,48421,3265872.0,13000,3265872.0,0,0,3146481,2024-09-28
C,23360,3437628.0,13000,3437628.0,0,0,3386836,2024-09-17
C,40053,1749558.0,13000,1749558.0,0,0,1748699,2024-08-02
C,6678,105020.0,13000,105020.0,0,0,105020,2023-08-28
C,51854,26796.0,13000,26796.0,0,0,26796,2022-03-31
C,50545,601185.0,13000,601185.0,0,0,579214,2024-08-30
C,40052,1156802.0,13000,1156802.0,0,0,1156802,2022-03-31
C,14310,303552.0,13000,303552.0,0,0,303552,2022-03-31
C,36713,250525.0,13000,250525.0,0,0,186237,2024-09-30
C,23349,68531.0,13000,68531.0,0,0,68531,2022-07-29
C,23348,73298.0,13000,73298.0,0,0,73298,2023-03-30
